epoch,loss,lr,mae,mard,mse,rmse,tir_accuracy,val_loss,val_mae,val_mard,val_mse,val_rmse,val_tir_accuracy
0,14606.9150390625,0.001,120.20023345947266,99.98373413085938,14606.4287109375,120.8570556640625,0.0,14024.951171875,117.6220932006836,99.9293441772461,14024.462890625,118.4249267578125,0.0
1,14562.5390625,0.001,120.09283447265625,99.96595764160156,14562.05078125,120.67332458496094,0.0,14007.2900390625,117.55061340332031,99.87118530273438,14006.7998046875,118.35032653808594,0.0
2,14520.4296875,0.001,119.9738540649414,99.93213653564453,14519.9423828125,120.49872589111328,0.0,14006.65234375,117.55191040039062,99.87614440917969,14006.1611328125,118.34762573242188,0.0
0,15359.9375,0.01,121.4377670288086,99.85453796386719,15359.806640625,123.93468475341797,0.02500000037252903,14301.8720703125,116.89449310302734,99.80689239501953,14301.736328125,119.5898666381836,0.0
1,15217.2578125,0.01,120.83412170410156,99.32202911376953,15217.119140625,123.3576889038086,0.02500000037252903,14228.484375,116.576171875,99.51777648925781,14228.3388671875,119.28260040283203,0.0
2,15014.888671875,0.01,120.05607604980469,98.71192169189453,15014.7392578125,122.5346450805664,0.02500000037252903,14077.7548828125,115.9224624633789,98.9298095703125,14077.599609375,118.64906311035156,0.0
3,14776.0517578125,0.01,119.0281982421875,97.85200500488281,14775.892578125,121.5561294555664,0.02500000037252903,13894.306640625,115.13419342041016,98.23063659667969,13894.1435546875,117.87342071533203,0.0
4,14430.693359375,0.01,117.7083740234375,96.83191680908203,14430.525390625,120.12712097167969,0.02500000037252903,13562.8486328125,113.69090270996094,96.9463882446289,13562.6748046875,116.45890045166016,0.0
0,15407.5908203125,0.01,121.52490234375,99.8218994140625,15407.4580078125,124.12678527832031,0.02500000037252903,14336.576171875,117.04344177246094,99.93941497802734,14336.4375,119.73486328125,0.0
1,15303.439453125,0.01,121.12886047363281,99.51276397705078,15303.2939453125,123.70648193359375,0.02500000037252903,14329.6376953125,117.0112533569336,99.90887451171875,14329.4873046875,119.7058334350586,0.0
2,15158.515625,0.01,120.55439758300781,99.05809783935547,15158.361328125,123.11930084228516,0.02500000037252903,14209.712890625,116.49656677246094,99.44847869873047,14209.5517578125,119.20382690429688,0.0
3,14953.7294921875,0.01,119.71832275390625,98.35191345214844,14953.5654296875,122.28477478027344,0.02500000037252903,14077.740234375,115.92912292480469,98.9422378540039,14077.572265625,118.6489486694336,0.0
4,14685.150390625,0.01,118.5693588256836,97.34859466552734,14684.9765625,121.18158721923828,0.02500000037252903,13848.228515625,114.93592834472656,98.05598449707031,13848.046875,117.67772674560547,0.0
0,15399.873046875,0.01,121.4805908203125,99.77171325683594,15399.744140625,124.095703125,0.02500000037252903,14223.552734375,116.55793762207031,99.50437927246094,14223.4189453125,119.26197814941406,0.0
1,15268.7314453125,0.01,120.9967269897461,99.40444946289062,15268.591796875,123.56614685058594,0.02500000037252903,14200.2158203125,116.46263122558594,99.42415618896484,14200.068359375,119.1640396118164,0.0
2,15091.1591796875,0.01,120.33380126953125,98.89353942871094,15091.009765625,122.84547424316406,0.02500000037252903,14103.130859375,116.03653717041016,99.03585052490234,14102.978515625,118.7559585571289,0.0
3,14859.1435546875,0.01,119.4219741821289,98.18254089355469,14858.986328125,121.8974380493164,0.02500000037252903,13790.6875,114.6849594116211,97.83168029785156,13790.525390625,117.43306732177734,0.0
4,14583.857421875,0.01,118.2203598022461,97.10304260253906,14583.6904296875,120.76295471191406,0.02500000037252903,13280.6767578125,112.43770599365234,95.82330322265625,13280.5048828125,115.24107360839844,0.0
0,15401.4013671875,0.01,121.52872467041016,99.85176086425781,15401.2705078125,124.10185241699219,0.02500000037252903,14286.2138671875,116.8259048461914,99.74365234375,14286.080078125,119.5243911743164,0.0
1,15295.818359375,0.01,121.13008117675781,99.5499038696289,15295.677734375,123.67569732666016,0.02500000037252903,14210.802734375,116.50370788574219,99.45616912841797,14210.6591796875,119.2084732055664,0.0
2,15158.296875,0.01,120.55047607421875,99.02999877929688,15158.146484375,123.11842346191406,0.02500000037252903,14065.5263671875,115.8790283203125,98.8983383178711,14065.373046875,118.59752655029297,0.0
0,15404.8935546875,0.01,121.5194091796875,99.82695007324219,15404.759765625,124.11591339111328,0.02500000037252903,14311.4658203125,116.93209075927734,99.83647155761719,14311.3251953125,119.62995147705078,0.0
1,15287.283203125,0.01,121.11480712890625,99.54047393798828,15287.134765625,123.64115142822266,0.02500000037252903,14262.359375,116.72126770019531,99.64788818359375,14262.2060546875,119.42447662353516,0.0
0,15143.068359375,0.01,120.5372085571289,99.06123352050781,15142.9091796875,123.05652618408203,0.02500000037252903,14110.146484375,116.06640625,99.0622787475586,14109.986328125,118.78546142578125,0.0
1,14957.513671875,0.01,119.70637512207031,98.29670715332031,14957.3466796875,122.30023193359375,0.02500000037252903,13854.7607421875,114.94775390625,98.05207824707031,13854.5888671875,117.70552062988281,0.0
0,15379.453125,0.01,121.48042297363281,99.85035705566406,15379.322265625,124.01339721679688,0.02500000037252903,14279.5419921875,116.7981185913086,99.7191390991211,14279.404296875,119.4964599609375,0.0
1,15258.845703125,0.01,120.97123718261719,99.41958618164062,15258.703125,123.526123046875,0.02500000037252903,14190.1953125,116.4146957397461,99.37684631347656,14190.048828125,119.12199401855469,0.0
2,15082.490234375,0.01,120.28104400634766,98.84809112548828,15082.337890625,122.81017303466797,0.02500000037252903,14070.5595703125,115.8975830078125,98.91320037841797,14070.4033203125,118.61872863769531,0.0
